# Norwegian (nb): visible labels use natural Bokmål; common English loanwords (streaming, software, TV, fitness, …) stay as-is when they read naturally.
tab.holidays|Holidays|Ferier
tripit.err.not_calendar|That doesn’t look like a TripIt / iCalendar (.ics) file.|Det ser ikke ut som en TripIt-/iCalendar-fil (.ics).
tripit.err.no_events|No trip events were found in the calendar data.|Fant ingen turhendelser i kalenderdataene.
tripit.err.invalid_url|Paste a valid TripIt calendar feed URL (https:// or webcal://).|Lim inn en gyldig TripIt-kalenderfeed-URL (https:// eller webcal://).
tripit.err.http|TripIt feed returned HTTP %lld. Check that the feed URL is enabled and copied fully.|TripIt-feed returnerte HTTP %lld. Sjekk at feed-URL-en er aktivert og kopiert fullstendig.
tripit.warn.all_duplicates|Every selected trip was already in Holidays.|Alle valgte turer lå allerede under Ferie.
tripit.imported_trip|Imported trip|Importert tur
tripit.imported_from|Imported from TripIt|Importert fra TripIt
inventory.family_wide|Family-wide|Felles (hele familien)
inventory.where|Where it is|Hvor den er
inventory.where.footer|Leave property empty for family-wide items, or pick a home/cabin. Use the detail field for garage, loft, or who’s holding it.|La eiendom stå tom for felles ting, eller velg hus/hytte. Bruk detaljefeltet for garasje, loft eller hvem som har den.
inventory.location_detail|Location detail|Stedsdetalj
inventory.location_detail.prompt|Garage, loft, with Herman…|Garasje, loft, hos Herman …
inventory.photo.footer|Center the item in the frame. On-device Vision suggests type and brand — cars, boats, devices, watches, and more.|Sentrer gjenstanden i rammen. Vision på enheten foreslår type og merke — bil, båt, enheter, klokker med mer.
inventory.type.footer|Brand and category — tap if the suggested type isn’t right.|Merke og kategori — trykk hvis forslaget ikke stemmer.
inventory.edit_title|Edit belonging|Rediger eiendel
inventory.add_title|Add belonging|Legg til eiendel
inventory.delete_item_confirm|Delete this belonging?|Slette denne eiendelen?
inventory.purchase_place|Bought at|Kjøpt hos
inventory.purchase_place.prompt|Store, website, or person|Butikk, nettsted eller person
inventory.purchase_insurance|Purchase & insurance|Kjøp og forsikring
inventory.purchase_insurance.footer|Estimated value helps with insurance. Add policy or rider notes if useful.|Anslått verdi hjelper ved forsikring. Legg til polise- eller tilleggsnotater ved behov.
inventory.insurance_notes|Insurance notes|Forsikringsnotater
inventory.product_url|Product / support website|Produkt- / supportsider
inventory.open_link|Open website|Åpne nettsted
inventory.links|Links|Lenker
inventory.links.footer|Add shop, manual, or support pages. The product URL above is the main one.|Legg til butikk-, manual- eller supportsider. Produkt-URL over er hovedlenken.
inventory.link_title|Link title|Lenketittel
inventory.link_title.prompt|e.g. Manual, Shop|f.eks. Manual, Butikk
inventory.link_url|URL|URL
inventory.add_link|Add another link|Legg til flere lenker
inventory.documents|Receipts & documents|Kvitteringer og dokumenter
inventory.documents.footer|Attach PDF or photo receipts, manuals, and guarantees (prefer under about 20 MB each).|Legg ved PDF eller bilde av kvitteringer, manualer og garantier (helst under ca. 20 MB hver).
inventory.add_document|Attach document…|Legg ved dokument…
inventory.doc.pick_kind|Document type|Dokumenttype
inventory.doc.preview|Document|Dokument
inventory.doc.receipt|Receipt|Kvittering
inventory.doc.manual|Manual|Manual
inventory.doc.guarantee|Guarantee / warranty|Garanti
inventory.doc.other|Other document|Annet dokument
inventory.notes.prompt|Serial number, model, reminders…|Serienummer, modell, påminnelser …
inventory.remove_photo|Remove photo|Fjern bilde
inventory.analyzing|Analyzing…|Analyserer…
inventory.bought_at|Bought at %@|Kjøpt hos %@
inventory.attachments_a11y|Has links or documents|Har lenker eller dokumenter
inventory.photo|Photo|Bilde
inventory.choose_photo|Choose photo|Velg bilde
inventory.camera|Camera|Kamera
inventory.analysis_hint|Uses on-device Vision…|Bruker Vision på enheten til å gjette gjenstand, kategori og synlige priser. Kun forslag.
inventory.analysis|Analysis|Analyse
inventory.item|Item|Gjenstand
inventory.values|Values|Verdier
inventory.est_value|Est. value|Anslått verdi
inventory.list_price|Current / list price|Gjeldende / listepris
inventory.dates|Dates|Datoer
inventory.purchase|Purchase|Kjøp
inventory.warranty|Warranty ends|Garanti slutt
inventory.stored_at|Stored at|Ligger på
inventory.delete|Delete belonging|Slett eiendel
inventory.identify|Identify from photo|Gjenkjenn fra bilde
inventory.delete_confirm|This can’t be undone.|Dette kan ikke angres.
property.detail.title|Details|Detaljer
property.add_photo|Add a photo|Legg til bilde
property.remove_photo|Remove photo|Fjern bilde
property.bedrooms|Bedrooms|Soverom
property.bathrooms|Bathrooms|Bad
property.year_built|Year built|Byggeår
property.emergency.dial_hint|Police non-emergency…|Politi, gift, vaktmester utenfor arbeidstid …
property.unlabeled|Unlabeled|Uten etikett
property.emergency_numbers|Emergency numbers|Nødnumre
property.emergency_contacts|Emergency contacts|Nødkontakter
property.emergency_footer|Dialable numbers…|Ringbare numre over; legg til kontekst her (medisinsk, rømningsvei, sikringsskap, gass …).
property.contact_people|Contact people|Kontaktpersoner
property.contact_hint|Add a landlord…|Legg til utleier, sameie, håndverker eller nabo.
property.add_contact|Add contact|Legg til kontakt
property.other_systems|Other systems|Andre systemer
property.security_footer|Alarm, gate codes…|Alarm, portkoder, avstengning og smarte notater — på enheten; del bare med folk du stoler på.
property.water_shutoff|Water shutoff|Vann avstengning
property.trash_recycling|Trash & recycling|Søppel og resirkulering
property.parking|Parking|Parkering
property.smart_home|Smart home|Smart home
property.contractors.hint|Electricians, plumbers…|Elektrikere, rørleggere, snekkere, håndverkere …
property.add_contractor|Add contractor|Legg til håndverker
property.contractors|Contractors|Håndverkere
property.providers.hint|Electricity company…|Strøm, internett, offentlige tjenester …
property.add_provider|Add service provider|Legg til leverandør
property.service_providers|Service providers|Leverandører
property.more_details|More details|Mer detaljer
property.living_area|Living area (m²)|Boareal (m²)
property.utilities_accounts|Utilities & accounts|Anlegg og kontoer
property.inventory_empty|No belongings at this property yet.|Ingen eiendeler på denne eiendommen ennå.
property.property_inventory|Belongings here|Eiendeler her
property.list_price|List %@|Listepris %@
property.est|Est. %@|Ansl. %@
property.person.new|New contact|Ny kontakt
property.person.role|Role|Rolle
property.person.role_prompt|Landlord, HOA, neighbor…|Utleier, sameie, nabo …
property.person.reach|Reach them|Kontakt
property.person.notes|Notes|Notater
property.emergency.new|Emergency number|Nødnummer
property.emergency.label|Label|Etikett
property.emergency.label_prompt|e.g. Police non-emergency|f.eks. politi, ikke nød
property.emergency.quick|Quick add|Hurtiglegg til
property.contractor.new|New contractor|Ny håndverker
property.contractor.trade|Trade|Fag
property.provider.new|New service provider|Ny leverandør
property.provider.type|Type|Type
property.acct|Acct: %@|Konto: %@
landing.data_backup|Data backup|Datasikkerhetskopi
landing.family_photo|Family photo|Familiebilde
landing.add_asset|Add FamilyPhoto to Assets|Legg til FamilyPhoto i Assets
landing.new_badge|NEW|NY
landing.new_updated|New or updated|Nytt eller oppdatert
landing.accessibility_hint|Has new or updated content.|Har nytt eller oppdatert innhold.
family.parents_a11y|Parents|Foreldre
family.name_placeholder|Name|Navn
event.kind.birthday|Birthday|Bursdag
event.kind.party|Party|Fest
event.kind.holidaytrip|Holiday / trip|Ferie / tur
event.kind.school|School & major dates|Skole og viktige datoer
event.kind.other|Other|Annet
sub.cat.streaming|Streaming|Streaming
sub.cat.club|Club / membership|Klubb / medlemskap
sub.cat.travel_ins|Travel insurance|Reiseforsikring
sub.cat.software|Software|Software
sub.cat.news|News & media|News & media
sub.cat.fitness|Fitness & wellness|Fitness & wellness
sub.cat.utilities|Utilities & phone|Utilities & phone
sub.cat.other|Other|Annet
sub.bill.monthly|Monthly|Månedlig
sub.bill.quarterly|Quarterly|Kvartalsvis
sub.bill.yearly|Yearly|Årlig
sub.bill.onetime|One-time|Engangs
family.branch.household|Our household|Vår husstand
family.branch.my_parents|My parents’ line|Min foreldrelinje
family.branch.spouse_parents|Spouse’s parents’ line|Ektefelles foreldrelinje
family.branch.extended|Extended family|Utvidet familie
inventory.section.vehicles|Vehicles & towing|Kjøretøy og slep
inventory.section.yard|Yard & seasonal|Hage og sesong
inventory.section.tools|Tools & workshop|Verksted og verktøy
inventory.section.grills|Grills & outdoor cooking|Grill og utekjøkken
inventory.section.electronics|Electronics|Elektronikk
inventory.section.sports|Sports & recreation|Sport og fritid
inventory.section.household|Household|Husholdning
inventory.section.general|Other|Annet
inventory.cat.car|Car|Bil
inventory.cat.bicycle|Bicycle|Sykkel
inventory.cat.boat|Boat|Båt
inventory.cat.trailer|Trailer|Tilhenger
inventory.cat.snow|Snow blower & winter|Snøfres og vinter
inventory.cat.tools|Tools & power tools|Verktøy og elektroverktøy
inventory.cat.outdoorCooking|Grills & outdoor cooking|Grill og utekjøkken
inventory.cat.computers|Computers & laptops|Datamaskiner og bærbare
inventory.cat.tv|TV & home theater|TV og hjemmekino
inventory.cat.downhill|Downhill skis|Alpinski
inventory.cat.telemark|Telemark skis|Telemarkski
inventory.cat.xc|Cross-country skis|Langrenn
inventory.cat.tennis|Tennis|Tennis
inventory.cat.golf|Golf|Golf
inventory.cat.household|Household items|Husholdningsgjenstander
inventory.cat.other|Other|Annet
property.belongings_empty|No belongings assigned to this property.|Ingen eiendeler knyttet til denne eiendommen.
property.belongings_section|Belongings here|Eiendeler her
inventory.cat.instrument|Musical instrument|Musikkinstrument
inventory.cat.watch|Watch|Klokke
inventory.cat.phoneTablet|Phones & tablets|Telefoner og nettbrett
inventory.section.valuables|Watches & instruments|Klokker og instrumenter
property.kind.house|House|Hus
property.kind.cabin|Cabin|Hytte
property.kind.apartment|Apartment|Leilighet
property.kind.land|Land|Tomt
property.kind.other|Other|Annet
contractor.electrician|Electrician|Elektriker
contractor.plumber|Plumber|Rørlegger
contractor.handyman|Handyman|Håndverker
contractor.snow|Snow plougher|Brøytebil
contractor.carpenter|Carpenter|Snekker
contractor.painter|Painter|Maler
contractor.landscaper|Landscaper|Hageanlegg
contractor.locksmith|Locksmith|Låsesmed
contractor.other|Other|Annet
svc.electricity|Electricity|Strøm
svc.gas|Gas|Gass
svc.water|Water|Vann
svc.internet|Internet|Internett
svc.public|Public services|Offentlige tjenester
svc.insurance|Insurance|Forsikring
svc.other|Other|Annet
icloud.status.available|Signed in — changes can sync to iCloud|Pålogget — endringer kan synkes til iCloud
icloud.status.no_account|No iCloud account…|Ingen iCloud-konto — åpne Innstillinger › Apple-ID og logg på iCloud
icloud.status.restricted|iCloud is restricted…|iCloud er begrenset på denne enheten (Skjermetid / foreldrekontroll)
icloud.status.unknown|Could not determine…|Kunne ikke avgjøre — prøv igjen etter å ha låst opp iCloud
icloud.status.temp|iCloud temporarily unavailable…|iCloud midlertidig utilgjengelig — prøv senere
icloud.status.unknown_default|Unknown status|Ukjent status

property.add_belonging|Add belonging at this property|Legg til eiendel på denne eiendommen
recipe.box_title|Recipe box|Oppskriftsbok
recipe.place_title|Recipes here|Oppskrifter her
recipe.add|Add recipe|Legg til oppskrift
recipe.empty_title|No recipes yet|Ingen oppskrifter ennå
recipe.empty_detail|Save cabin waffles, holiday favorites, and family staples—and tie them to a home or place.|Lagre hyttevaffler, feriefavoritter og familiens faste—knytt dem til hus eller sted.
recipe.empty_place_title|No recipes for this place|Ingen oppskrifter for dette stedet
recipe.empty_place_detail|Add a recipe that belongs with this home or cabin.|Legg til en oppskrift som hører til dette huset eller hytta.
recipe.no_matches|No matches|Ingen treff
recipe.search_prompt|Search recipes|Søk i oppskrifter
recipe.search_empty|Nothing matches “%@”.|Ingen treff på “%@”.
recipe.untitled|Untitled recipe|Oppskrift uten navn
recipe.minutes_short|min|min
recipe.ingredient_count|%d ingredients|%d ingredienser
recipe.title_field|Title|Tittel
recipe.prep_time|Prep time|Tilberedningstid
recipe.property|Home / cabin|Hus / hytte
recipe.place_label|Place note|Stedsnotat
recipe.place_section|Place|Sted
recipe.place_footer|Link to a property, or leave family-wide and use a place note (e.g. Marbella kitchen).|Knytt til eiendom, eller la den være felles med et stedsnotat (f.eks. Marbella-kjøkken).
recipe.place.family|Family-wide|Felles
recipe.ingredients|Ingredients|Ingredienser
recipe.ingredient_placeholder|e.g. 2 eggs|f.eks. 2 egg
recipe.add_ingredient|Add ingredient|Legg til ingrediens
recipe.instructions|Instructions|Fremgangsmåte
recipe.instructions_placeholder|Steps…|Steg…
recipe.notes_placeholder|Serving tips, who loves it…|Serveringstips, hvem som elsker den…
recipe.new|New recipe|Ny oppskrift
recipe.edit|Edit recipe|Rediger oppskrift
recipe.delete|Delete recipe|Slett oppskrift
recipe.delete_confirm|Delete this recipe?|Slette denne oppskriften?
property.recipes_section|Recipes|Oppskrifter
property.add_recipe|Add recipe|Legg til oppskrift
property.recipes_empty|No recipes tied to this place yet.|Ingen oppskrifter knyttet til dette stedet ennå.
property.all_recipes|All recipes for this place|Alle oppskrifter for dette stedet
maintenance.log_title|Maintenance log|Vedlikeholdslogg
maintenance.place_title|Maintenance here|Vedlikehold her
maintenance.add|Add maintenance|Legg til vedlikehold
maintenance.empty_title|No maintenance logged|Ingen vedlikehold loggført
maintenance.empty_detail|Track heat pumps, roofs, filters, and more—with next-due dates the whole family can see.|Følg varmepumpe, tak, filtre og mer—med neste frist hele familien ser.
maintenance.empty_place_title|No log for this place|Ingen logg for dette stedet
maintenance.empty_place_detail|Add the first service or check for this home.|Legg til første service eller sjekk for dette huset.
maintenance.no_matches|No matches|Ingen treff
maintenance.no_overdue|Nothing overdue|Ingenting forfalt
maintenance.no_overdue_detail|All next-due dates are in the clear.|Alle frister er i orden.
maintenance.search_prompt|Search maintenance|Søk i vedlikehold
maintenance.search_empty|Nothing matches “%@”.|Ingen treff på “%@”.
maintenance.filter_overdue|Show overdue only|Vis bare forfalt
maintenance.untitled|Untitled entry|Oppføring uten navn
maintenance.overdue_days|Overdue by %d days|Forfalt med %d dager
maintenance.due_today|Due today|Forfaller i dag
maintenance.due_tomorrow|Due tomorrow|Forfaller i morgen
maintenance.due_in_days|Due in %d days|Forfaller om %d dager
maintenance.title_field|What was done|Hva ble gjort
maintenance.performed_at|Date done|Dato utført
maintenance.performed_by|Done by|Utført av
maintenance.cost|Cost|Kostnad
maintenance.property|Home / cabin|Hus / hytte
maintenance.property_required|Choose a place…|Velg et sted…
maintenance.place_section|Place|Sted
maintenance.place_footer|Every entry belongs to a home or cabin.|Hver oppføring hører til et hus eller en hytte.
maintenance.has_next_due|Set next due date|Sett neste frist
maintenance.next_due|Next due|Neste frist
maintenance.schedule_section|Schedule|Plan
maintenance.notes_placeholder|Parts used, contractor, meter reading…|Deler, leverandør, målerstand…
maintenance.photo|Photo|Foto
maintenance.add_photo|Add photo|Legg til foto
maintenance.change_photo|Change photo|Bytt foto
maintenance.remove_photo|Remove photo|Fjern foto
maintenance.new|New maintenance|Nytt vedlikehold
maintenance.edit|Edit maintenance|Rediger vedlikehold
maintenance.delete|Delete entry|Slett oppføring
maintenance.delete_confirm|Delete this maintenance entry?|Slette denne vedlikeholdsoppføringen?
maintenance.category.hvac|HVAC / heat|Varme / ventilasjon
maintenance.category.roof|Roof / exterior|Tak / utvendig
maintenance.category.plumbing|Plumbing|Rør
maintenance.category.electrical|Electrical|Elektro
maintenance.category.outdoor|Outdoor / yard|Ute / hage
maintenance.category.appliance|Appliance|Hvitevarer
maintenance.category.security|Security / access|Sikkerhet / adgang
maintenance.category.other|Other|Annet
property.maintenance_section|Maintenance|Vedlikehold
property.add_maintenance|Add maintenance|Legg til vedlikehold
property.maintenance_empty|No maintenance logged for this place yet.|Ingen vedlikehold loggført for dette stedet ennå.
property.all_maintenance|Full maintenance log|Full vedlikeholdslogg
cocker.news.maint_overdue|Woof — %@ is overdue by %d days|Voff — %@ er forfalt med %d dager
cocker.news.maint_today|Woof — %@ is due today|Voff — %@ forfaller i dag
cocker.news.maint_soon|Woof — %@ due in %d days|Voff — %@ forfaller om %d dager
